Date,Open,High,Low,Close,Volume,Range,RangeP,zscore,z1cat
1/29/1993,25.9,25.9,25.77,25.88,1702900,0.13,0.502318393,-0.774114196,3
2/1/1993,25.9,26.07,25.9,26.07,815600,0.17,0.652090526,-0.624364661,3
2/2/1993,26.05,26.14,25.99,26.12,341700,0.15,0.574272588,-0.702170857,3
2/3/1993,26.16,26.42,26.14,26.4,898600,0.28,1.060606061,-0.215910762,3
2/4/1993,26.49,26.57,26.2,26.51,902200,0.37,1.395699736,0.119132355,2
2/5/1993,26.49,26.55,26.34,26.49,835300,0.21,0.792751982,-0.483724427,3
2/8/1993,26.49,26.58,26.45,26.49,1011900,0.13,0.490751227,-0.785679617,3
2/9/1993,26.4,26.4,26.25,26.31,207300,0.15,0.570125428,-0.706317392,3
2/10/1993,26.31,26.36,26.23,26.34,644400,0.13,0.493545938,-0.782885328,3
2/11/1993,26.38,26.58,26.38,26.47,33100,0.2,0.755572346,-0.520898453,3
2/12/1993,26.44,26.44,26.27,26.27,72100,0.17,0.647125999,-0.629328438,3
2/16/1993,26.2,26.2,25.57,25.61,636200,0.63,2.459976572,1.183248615,1
2/17/1993,25.61,25.64,25.5,25.59,358000,0.14,0.547088707,-0.729350637,3
2/18/1993,25.88,25.88,25.22,25.57,641800,0.66,2.581149785,1.304403546,1
2/19/1993,25.57,25.66,25.53,25.66,59200,0.13,0.506625097,-0.769808141,3
2/22/1993,25.74,25.79,25.66,25.76,871800,0.13,0.504658385,-0.771774557,3
2/23/1993,25.83,25.85,25.61,25.74,634300,0.24,0.932400932,-0.344096547,3
2/24/1993,25.76,26.07,25.76,26.07,44600,0.31,1.189106252,-0.087429958,3
2/25/1993,26.05,26.14,25.99,26.12,75500,0.15,0.574272588,-0.702170857,3
2/26/1993,26.18,26.18,26.03,26.16,112400,0.15,0.573394495,-0.703048817,3
3/1/1993,26.25,26.25,26.05,26.09,112900,0.2,0.766577233,-0.509895227,3
3/2/1993,26.11,26.47,26.07,26.47,309600,0.4,1.511144692,0.234559893,2
3/3/1993,26.51,26.6,26.47,26.58,475500,0.13,0.489089541,-0.787341052,3
3/4/1993,26.62,26.62,26.44,26.44,151900,0.18,0.680786687,-0.595672829,3
3/5/1993,26.47,26.58,26.34,26.36,67900,0.24,0.91047041,-0.36602376,3
3/8/1993,26.42,26.95,26.42,26.95,86200,0.53,1.966604824,0.689951306,2
3/9/1993,26.9,26.92,26.8,26.86,287400,0.12,0.446760983,-0.829663224,3
3/10/1993,26.86,26.92,26.75,26.92,330000,0.17,0.631500743,-0.644951337,3
3/11/1993,26.93,27.01,26.8,26.84,120400,0.21,0.782414307,-0.494060542,3
3/12/1993,26.62,26.64,26.4,26.57,1092500,0.24,0.90327437,-0.373218715,3
3/15/1993,26.55,26.69,26.55,26.69,527600,0.14,0.524541027,-0.751894915,3
3/16/1993,26.69,26.77,26.69,26.69,52300,0.08,0.299737729,-0.976664295,3
3/17/1993,26.66,26.66,26.49,26.53,37000,0.17,0.640784018,-0.635669462,3
3/18/1993,26.64,26.8,26.64,26.69,100700,0.16,0.599475459,-0.676971789,3
3/19/1993,26.8,26.8,26.65,26.65,113000,0.15,0.562851782,-0.71358994,3
3/22/1993,26.39,26.56,26.38,26.51,309900,0.18,0.678989061,-0.597470184,3
3/23/1993,26.58,26.6,26.52,26.56,93300,0.08,0.301204819,-0.975197426,3
3/24/1993,26.52,26.67,26.39,26.56,62800,0.28,1.054216867,-0.222298991,3
3/25/1993,26.58,26.78,26.54,26.73,186000,0.24,0.897867565,-0.378624704,3
3/26/1993,26.71,26.73,26.56,26.58,171500,0.17,0.639578631,-0.636874668,3
3/29/1993,26.6,26.82,26.6,26.69,147200,0.22,0.824278756,-0.45220241,3
3/30/1993,26.73,26.76,26.69,26.76,94600,0.07,0.261584454,-1.014811813,3
3/31/1993,26.84,26.91,26.75,26.75,188500,0.16,0.598130841,-0.678316204,3
4/1/1993,26.78,26.78,26.6,26.65,218800,0.18,0.675422139,-0.601036568,3
